,news_title
0,MBC 내년부터 국내 메이저리그 중계 안한다
1,메이저리그 '유리천장' 깨졌다.. 첫 '여성 단장' 탄생
2,[이슈톡] 메이저리그 창설 이래 첫 여성 단장 임명
3,"메이저리그 노리는 NC 나성범, 가을야구서 눈도장 '쾅'"
4,"한국계 미국프로풋볼(NFL) 스타 쿼터백 카일러 머레이, 메이저리..."
5,메이저리그도 주목하는 로하스 알칸타라
6,"메이저리그 첫 여성 단장 탄생..""소중한 본보기 될 것"""
7,"메이저리그 첫 여성 단장 탄생..""스포츠 역사에 남을 일"""
8,"메이저리그 워싱턴 구단, 바이든에 2021시즌 개막전 시구 요청"
9,"발 빠른 美 메이저리그, 바이든을 내년 개막전 시구자로"
10,[조미예의 MLB현장] 메이저리그를 방문했던 우리나라 스타들 -1편-
11,메이저리그 사상 첫 여성 단장 임명..마이애미 단장에 중국계 킴 응
12,"메이저리그도 주목하는 PS, 김하성 나성범 관심집중"
13,메이저리그 방식으로 새 감독 찾는 LG..최종 후보 5명 압축
14,"美전문지 “김하성, 메이저리그 FA 내야 시장에 영향력 커”"
15,[이현우의 MLB+] 2020 메이저리그 MVP 주인공은?
16,"일본 매체의 '눈물겨운' 바우어 '구애'..""메이저리그는 불안"""
17,메이저리그 향하다 유턴..5억 찍은 '괴물' 나승엽
18,"오프시즌 돌입하는 메이저리그, '최강 전력' 가진 팀은?"
19,"탈락 아쉬움 삼킨 김하성, 이제 목표는 메이저리그"
20,"추신수와 테임즈, 메이저리그 FA 시장 나선다"
21,"코로나19 타격 입은 메이저리그, 빚만 83억$"
22,"MLB 커미셔너 ""메이저리그 전 구단, 최대 30억달러 적자"""
23,"""메이저리그 30개 구단 올해 적자, 3조원 이상"""
24,"'KBO 출신' 켈리·레일리, 메이저리그 1년 더"
25,"메이저리그, 코로나19 확산에 윈터미팅 취소"
26,"은퇴 시즌 GG 수상, 한 메이저리그 베테랑의 '뜨거운 안녕'"
27,"금의환향 김광현 ""올해는 메이저리그 발만 담갔죠"""
28,올 메이저리그 TV 시청률 하락 원인은? 미국 대선 때문..미 포브...
29,"""지금까지 없는 야수"" 메이저리그가 주목하는 김하성의 잠재력"
30,"""PS 10홈런? 믿을 수 없다"" 메이저리그 들썩인 TB 아로자레나의 맹타"
31,7번의 도전 끝에 30년 꿈 이루다… 메이저리그 최초 여성 단장 킴 응
32,"""韓 거쳐, 메이저리그 주력 선발"" 美 매체 켈리 옵션 실행에 '합..."
33,[코리안 메이저리거 실록 2020(KMP 27년)] 메이저리그 최고 '스포...
34,"라이언 테페라, 생애 첫 메이저리그 MVP 득표… 기자 투표 실수?"
35,"류현진, 2년 연속 메이저리그 사이영상 후보"
36,"류현진, 베이스볼 아메리카 선정 메이저리그 2020시즌 세컨드팀"
37,"김광현 ""올해는 메이저리그에 맛만 봤죠..바로 2021년 대비""(종합)"
38,"김하성, '꿈의 무대' 메이저리그가 부른다"
39,"지바롯데로 이적한 사와무라, 메이저리그 복수 구단서 관심"
40,2020 메이저리그 결산! 코리안리거 활약 총정리 [엠엘비 한마당 L...
41,"김하성-나성범 ""메이저리그가 보인다"""
42,"ESPN ""알칸타라, 린드블럼 닮은 꼴. 시즌 후 메이저리그 복귀할 ..."
43,"'귀국' 김광현 ""메이저리그 첫 승 순간 울컥, 꿈 이뤄 기뻤다"""
44,“키움 김하성 메이저리그 FA 7위 평가”
45,나이는 숫자에 불과하다-메이저리그 70대들 감독 사장으로 속속 컴백
46,[TF사진관] '성공적인 메이저리그 데뷔'..김광현의 '금의환향'
47,"美매체 “추신수, 내년에도 메이저리그 현역 가능하다”"
48,'호타준족' 김하성 메이저리그 입성할까
49,"'심준석 리그' 뜨거운 개막? ""메이저리그 오퍼 무조건 온다"""
50,"메이저리그 노리던 나승엽, 롯데와 최종 계약"
51,메이저리그 하위 5.2%?..승리 부른 최지만의 '스피드'
52,"""김하성, 올해 메이저리그 뛰었어도 홈런 29개는 쳤을 것"""
53,"""한국에 남을걸"" 러프와 레일리, 메이저리그 복귀 노리다 연봉 10..."
