,news_title
0,"엘라스틱, 머신러닝·보안 강화 엘라스틱스택 7.4 출시"
1,"로봇융합연·위세아이텍·남서울대, 로봇 산업 확대 MOU"
2,"인터리핀, 머신러닝 기반의 관계형 금융 방식을 이용한 P2P금융 특허 출원"
3,[2019 메이커] 머신러닝 '동키카'로 모두 즐겁게 놀아요
4,"엘라스틱, 데이터 플랫폼 '엘라스틱 스택' 버전 7.4 출시"
5,"[AI] ""고객님, 이 물건 어때요?""…AI가 필요한 상품만 `콕콕`"
6,"엘라스틱, ‘엘라스틱 스택’ 버전 7.4 출시"
7,"[다이어트Tip] '헬스장에 출석 도장만 찍는다면'… 다른 기구는 모르고 런닝머신만 뛰고 있다면, 기구 어떻게 이용해야 몸짱 될까?"
8,데이터 잠재력·민첩성 높이는 '데이터옵스'
9,[ISEC 2019] 보안에서의 머신러닝의 역할과 산업용스위치 보안강화 방안
10,서울대 데이터사이언스대학원 내년 3월 개원…이달 10일~18일 신입생 모집
11,[ISEC 2019] 머신러닝을 활용해 위협이 아닌 위협적인 정상 행위를 관리하기
12,[ISEC 2019] AI/머신러닝 엔드포인트 보안프로젝트 방법론 공유
13,"KB증권-고려대, 머신러닝 활용 투자서비스 개발 MOU"
14,"구글, 머신러닝 알고리즘 '텐서플로 2.0' 출시"
15,"[PRNewswire] 머신빈티지의 획기적인 시장 조사 기술, 오길비 어워드 수상"
16,"시큐리온, 클라우드 기반 머신러닝 엔진 'On'브랜드 발표…모바일·IoT 보안 시장 선도"
17,[10월4일] 비즈니스피플 전문 경력직 채용정보
18,"AI 머신비전 기술 전문기업 라온피플, 10월 코스닥 입성"
19,"[몸매가꾸기] '헬스장에서 어떤 운동 할 지 모르겠다면'… 런닝머신만 하면 소용없어, 운동 기구 사용Tip?"
20,미래·삼성證 등 주식투자도 AI시대 `성큼`
21,"[IFA 2019] 로보링크, 스스로 학습하는 머신러닝 자율자동차 키트 '주미' 선보여"
22,"코그넥스 ""머신비전, 딥러닝·5G 만나 날개 단다"""
23,KB증권·신한은행·SK하이닉스 등 IDC DX 어워드 수상기업에 선정
24,"엠웍스, DGB대구은행과 RPA프로젝트 계약 잇달아 체결…AI 딥러닝 자회사 설립 선투자 진행"
25,"[IPO]AI 머신비전 솔루션기업 라온피플, 10월 코스닥 입성"
26,'머신러닝을 더 쉽게' 6가지 툴
27,[권영설의 블루오션 시프트] '산업AI'에 역전 기회 있다
28,"[실험실 벗어나지 못한 AI, 대안은] 머신러닝으로 의미 찾는 연구 활발"
29,"알리바바-WFP, 기아 퇴치 위해 AI 머신러닝 적용"
30,"시큐리온 머신러닝 기반 'OnAV(온백신)', 더 엄격해진 AV-TEST에도 7회 연속 인증...탐지 성능 입증"
31,"신한은행-고려대학교, '머신러닝' 시각화 기술 개발"
32,"신한銀, 머신러닝 이해 돕는 시각화 기술 개발"
33,"수아랩, 딥러닝 머신비전 '수아킷 2.3 버전' 출시"
34,"[유나이트] 유니티의 AI와 머신 러닝 툴킷, 어떻게 사용해야 할까"
35,"모젠코리아, '머신러닝 통합 보안 분석 플랫폼' 출시"
36,"블랙베리 사일런스, 'AI·머신러닝' 보안 기술로 한국 공략"
37,"클라우데라, 엔터프라이즈 데이터 클라우드 'CDP' 발표"
38,"구글, 넷마블에 AI 머신러닝 적용…게임 이용자 유지·분석"
39,‘대학이 성장 엔진’…AI·생명과학 키우니 기업 몰려
40,"알리바바그룹, 머신러닝 특화 NPU '한광800' 공개"
41,"함소원 ""출산 전날 러닝머신에서 40분 걸어"" ('대한외국인')"
