,custid,age,sex,marital,area,education,amt_nike,amt_hnm,amt_strbk,amt_dgt,amt_book,amt_htl,amt_prmmsneakers,cnt_pstyr,amt_pstyr,cnt_login,amt_nxtyr,cnt_nxtyr
0,1,27,F,single,SEOL,university,25100,0,20000,0,0,0,0,4,209321.0,15,185921,3
1,2,28,F,single,SEOL,university,21500,0,21700,0,0,0,0,3,188514.0,17,271796,8
2,3,27,F,single,SEOL,university,0,0,20200,0,0,0,0,2,206183.0,16,369348,3
3,4,27,F,single,SEOL,college,0,0,0,0,0,0,0,2,226851.0,10,387005,8
4,5,27,F,single,SEOL,university,20100,0,34000,0,0,0,76700,4,221491.0,22,204884,10
5,6,27,F,single,SEOL,university,23000,0,19800,0,0,0,0,4,235272.0,16,466245,11
6,7,28,F,single,SEOL,university,29200,0,35400,0,0,0,0,4,212007.0,14,270636,11
7,8,27,F,single,SEOL,university,0,30800,29200,0,0,0,0,4,207290.0,10,343099,3
8,9,28,F,single,SEOL,university,0,0,37300,0,0,220100,0,3,201644.0,14,435226,4
9,10,28,F,single,SEOL,university,26800,0,23900,0,0,0,0,4,209526.0,22,246245,2
10,11,28,F,single,SEOL,university,23000,0,0,0,0,0,0,2,226495.0,15,436527,10
11,12,27,F,single,SEOL,university,20100,0,20000,0,0,0,0,3,185681.0,13,57570,11
12,13,28,F,single,SEOL,university,0,0,34100,0,0,256200,0,4,230743.0,17,204445,13
13,14,27,F,single,SEOL,university,0,0,10600,0,0,0,0,3,186894.0,15,433598,9
14,15,28,F,single,SEOL,university,23000,0,18000,0,0,0,0,4,185457.0,17,100115,7
15,16,27,F,single,SEOL,university,31800,0,28500,0,0,0,0,4,268846.0,19,262027,11
16,17,27,F,single,SEOL,university,20600,37100,20700,0,0,0,0,4,215036.0,18,319914,11
17,18,28,F,single,SEOL,university,0,0,0,0,0,0,0,2,212792.0,13,128196,7
18,19,27,F,single,SEOL,university,0,0,11600,0,0,0,0,2,177749.0,21,337394,3
19,20,27,F,single,SEOL,college,22900,0,23900,0,0,0,0,5,227941.0,8,498500,11
20,21,27,F,single,SEOL,college,29100,0,26600,0,0,0,0,4,264563.0,15,401987,10
21,22,27,F,single,SEOL,master,26800,0,24600,0,0,0,0,4,228060.0,13,263756,10
22,23,28,F,single,SEOL,university,0,0,22500,0,0,0,0,2,220651.0,19,507097,9
23,24,28,F,single,SEOL,university,0,0,21100,0,0,0,0,3,227723.0,16,391785,11
24,25,27,F,single,SEOL,university,23000,0,0,0,0,0,0,3,212786.0,15,329414,8
25,26,27,F,single,SEOL,university,23000,33600,22900,0,0,0,0,4,232269.0,12,249892,10
26,27,28,F,single,SEOL,university,23000,0,31400,0,0,0,66100,5,179360.0,15,245767,2
27,28,28,F,single,SEOL,university,0,0,22300,0,0,153200,0,2,195137.0,19,388595,4
28,29,27,F,single,SEOL,university,0,0,24600,0,0,0,134800,3,239334.0,7,301390,8
29,30,28,F,single,SEOL,university,23000,0,13300,0,0,0,0,4,179496.0,7,39495,4
30,31,28,F,single,SEOL,university,23000,0,23000,0,0,0,0,3,204219.0,11,246914,21
31,32,27,F,single,SEOL,university,21000,0,0,0,0,0,67900,3,259487.0,11,375455,9
32,33,27,F,single,SEOL,university,0,0,34800,0,0,0,0,3,240562.0,16,455744,4
33,34,28,F,single,SEOL,university,0,0,12500,0,0,0,0,2,180271.0,3,428690,10
34,35,27,F,single,SEOL,university,23000,21700,30700,0,0,0,75600,4,229162.0,17,321718,10
35,36,28,F,single,SEOL,university,23000,0,27100,0,0,0,0,3,242442.0,16,383617,10
36,37,28,F,single,SEOL,university,23000,0,19400,0,0,0,85400,3,250807.0,3,403520,10
37,38,27,F,single,SEOL,university,0,0,40200,0,31000,0,0,3,253724.0,12,234666,5
38,39,28,F,single,SEOL,university,0,0,0,0,0,0,0,2,241078.0,22,319249,10
39,40,27,F,single,SEOL,university,23000,0,18400,0,0,0,0,3,258757.0,13,352368,12
40,41,27,F,single,SEOL,master,26500,0,30500,0,0,114500,0,5,252142.0,8,439028,13
41,42,27,F,single,SEOL,university,29400,0,21700,0,0,0,0,4,245905.0,13,239930,11
42,43,28,F,single,SEOL,university,0,0,22600,0,0,0,0,2,213456.0,16,161803,9
43,44,27,F,single,SEOL,college,0,28600,38700,0,0,0,0,3,193141.0,14,341608,5
44,45,27,F,single,SEOL,university,41300,0,37100,0,0,0,173900,4,219527.0,13,391610,11
45,46,27,F,single,SEOL,college,24400,0,0,0,0,118400,0,3,221303.0,10,56819,7
46,47,28,F,single,SEOL,college,23000,0,20200,0,0,106500,0,4,208630.0,18,220335,11
47,48,28,F,single,SEOL,university,0,0,24400,0,0,0,0,3,198457.0,8,100328,5
48,49,27,F,single,SEOL,university,0,0,35100,0,0,0,0,3,194098.0,24,281630,5
49,50,28,F,single,SEOL,university,24900,0,39200,0,0,0,0,4,199453.0,16,115625,13
50,51,28,F,single,SEOL,university,23000,0,19800,0,0,0,0,4,204540.0,11,225239,5
51,52,27,F,single,SEOL,university,23000,0,15200,0,0,0,0,3,186911.0,11,352994,11
52,53,27,F,single,SEOL,university,0,37800,0,0,0,0,0,2,247293.0,17,212275,8
53,54,27,F,single,SEOL,college,0,0,34400,0,0,0,0,3,223599.0,8,305473,10
54,55,28,F,single,SEOL,university,23500,0,21300,0,29000,0,0,12,251803.0,19,49794,4
55,56,27,F,single,SEOL,university,23000,0,27100,0,0,0,0,3,208242.0,17,405032,8
56,57,28,F,single,SEOL,university,23000,0,19200,0,0,0,63300,4,222242.0,10,71136,3
57,58,27,F,single,SEOL,university,0,0,17500,0,0,0,0,2,216643.0,14,280215,11
58,59,28,F,single,SEOL,university,0,0,30500,0,0,0,0,2,227806.0,12,496377,10
59,60,28,F,single,SEOL,college,23000,0,0,0,0,0,0,2,176187.0,9,249463,13
60,61,28,F,married,SEOL,master,20200,0,18800,0,0,0,0,4,224497.0,22,151962,11
61,62,27,F,single,SEOL,university,23000,21800,28600,0,0,0,0,8,186119.0,16,37831,11
62,63,28,F,single,SEOL,university,0,0,24200,0,0,0,0,2,216178.0,11,274967,10
63,64,28,F,single,SEOL,university,0,0,33000,0,0,0,0,2,250139.0,17,362749,13
64,65,27,F,single,SEOL,university,28900,0,36500,0,0,0,0,4,257036.0,23,437424,11
65,66,27,F,single,SEOL,university,21300,0,30500,0,23000,0,0,3,230991.0,21,344488,7
66,67,27,F,married,SEOL,university,28600,0,0,0,0,0,0,3,258748.0,18,160261,13
67,68,27,F,single,SEOL,college,0,0,20700,0,0,0,0,2,193981.0,13,328264,3
68,69,27,F,single,SEOL,university,0,0,21400,0,0,0,0,4,223259.0,12,500298,8
69,70,27,F,single,SEOL,university,23000,0,23400,0,0,0,0,4,208954.0,14,19266,11
70,71,28,F,divorced,SEOL,university,23000,32700,20600,0,0,0,0,9,199107.0,18,335097,8
71,72,27,F,single,SEOL,university,29100,0,33500,0,0,0,0,4,229471.0,22,272093,13
72,73,27,F,single,SEOL,university,0,0,30800,0,0,0,0,3,212519.0,19,431924,10
73,74,27,F,single,SEOL,university,0,0,0,0,0,0,0,1,241697.0,17,321832,11
74,75,27,F,single,SEOL,university,21900,0,24500,0,0,0,0,4,213453.0,17,370624,8
75,76,27,F,single,SEOL,university,23000,0,16100,0,0,0,0,4,199230.0,19,265928,12
